Activity Label,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Training Run,Running,2024-09-16 07:43:50,false,"Charlottesville Running","10.01","1,008","01:11:10","128","147","2.9","149","178","7:07","4:14","279","266","1.51","8.0","12.1","285","7:08","400","0.0","399","663","NaN","NaN","--","NaN","NaN","NaN","68.0","No","00:02:49.0","2","77.0","--","--","--","01:11:07","01:16:08","480","573"
Long Run,Running,2024-09-15 09:46:35,false,"Albemarle County Running","14.01","1,520","01:32:46","151","163","3.9","153","162","6:37","5:44","955","945","1.58","7.7","12.1","268","6:34","441","0.0","434","608","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:32:46","1","84.2","33","19","41","01:32:45","01:36:10","610","875"
WU/CD,Running,2024-09-14 09:31:49,false,"Albemarle County Running","4.35","511","00:32:27","149","170","2.9","146","161","7:27","5:16","52","36","1.46","8.2","11.9","287","7:29","375","0.0","376","545","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:32:27","1","89.6","--","--","--","00:32:16","01:08:00","496","526"
WU/CD,Running,2024-09-14 07:51:41,false,"Albemarle County Running","2.68","283","00:18:02","135","160","2.4","153","181","6:44","4:05","92","105","1.56","7.7","11.8","268","6:45","423","0.0","417","608","NaN","NaN","--","NaN","NaN","NaN","69.8","No","00:03:03.6","2","77.0","--","--","--","00:17:59","00:29:55","465","519"
Training Run,Running,2024-09-13 08:43:29,false,"Albemarle County Running","5.04","551","00:33:47","142","152","3.0","153","176","6:42","5:18","331","354","1.56","7.7","12.0","268","6:39","438","0.0","427","665","NaN","NaN","--","NaN","NaN","NaN","73.4","No","00:33:47","1","82.4","--","--","--","00:33:47","00:33:47","448","508"
Workout,Running,2024-09-12 08:11:06,false,"Charlottesville Running","7.03","736","00:45:00","144","167","3.1","154","200","6:24","3:42","233","177","1.61","7.5","11.8","264","6:26","440","0.0","430","716","NaN","NaN","--","NaN","NaN","NaN","69.8","No","00:00:02.9","20","80.6","--","--","--","00:44:47","01:12:56","533","577"
Training Run,Running,2024-09-11 07:43:19,false,"Charlottesville Running","8.14","834","00:54:59","136","147","3.0","153","165","6:45","5:56","387","400","1.54","7.7","11.8","267","6:45","423","0.0","418","575","NaN","NaN","--","NaN","NaN","NaN","64.4","No","00:54:59","1","77.0","--","--","--","00:54:53","00:58:01","442","602"
Double,Running,2024-09-10 18:01:04,false,"Charlottesville Running","5.02","549","00:35:28","139","154","2.8","151","163","7:04","6:09","233","230","1.50","7.9","11.9","276","7:02","407","0.0","402","548","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:35:28","1","86.0","--","--","--","00:35:24","00:37:15","486","583"
Workout,Running,2024-09-10 08:03:53,false,"Albemarle County Running","9.02","908","00:56:03","146","178","3.5","150","205","6:13","3:30","295","282","1.70","7.1","11.7","253","6:13","453","0.0","433","753","NaN","NaN","--","NaN","NaN","NaN","69.8","No","00:00:02.5","16","82.4","32","11","44","00:54:44","01:36:20","290","390"
Training Run,Running,2024-09-09 07:45:20,false,"Charlottesville Running","9.26","924","01:02:38","132","150","3.1","154","187","6:46","3:53","499","502","1.53","7.7","11.8","267","6:44","424","0.0","418","656","NaN","NaN","--","NaN","NaN","NaN","60.8","No","00:03:28.1","2","73.4","--","--","--","01:02:29","01:09:09","374","602"
Recovery,Running,2024-09-08 12:43:36,false,"Albemarle County Running","6.00","660","00:44:45","137","145","2.8","151","161","7:27","5:53","564","535","1.44","8.2","11.8","285","7:16","407","0.0","395","575","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:44:45","1","89.6","--","--","--","00:44:45","00:45:24","390","696"
Long Run,Running,2024-09-07 08:36:42,false,"Albemarle County Running","13.51","1,385","01:28:47","142","166","3.6","155","167","6:34","5:40","951","879","1.58","7.6","11.9","263","6:30","443","0.0","435","638","NaN","NaN","--","NaN","NaN","NaN","71.6","No","01:28:47","1","82.4","--","--","--","01:28:45","01:33:41","574","868"
Workout,Running,2024-09-06 16:03:30,false,"Charlottesville Running","6.01","635","00:36:46","154","177","3.4","149","212","6:07","4:16","56","43","1.74","7.0","11.8","255","6:04","459","0.0","433","616","NaN","NaN","--","NaN","NaN","NaN","82.4","No","00:00:47.0","13","91.4","34","15","47","00:36:35","00:51:50","534","572"
Workout,Running,2024-09-06 07:38:26,false,"Charlottesville Running","9.00","959","00:55:43","154","182","3.9","152","188","6:11","3:33","220","194","1.68","7.1","11.5","254","6:11","457","0.0","433","724","NaN","NaN","--","NaN","NaN","NaN","68.0","No","00:00:05.2","11","80.6","35","14","51","00:54:57","01:25:42","533","583"
Training Run,Running,2024-09-05 10:24:30,false,"Charlottesville Running","9.02","982","01:00:13","145","163","3.4","153","200","6:40","4:01","374","371","1.57","7.7","12.1","269","6:38","432","0.0","427","669","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:03:01.5","3","82.4","--","--","--","01:00:11","01:03:54","478","585"
